구분별,시점,경기실적SBHI
중기업,2020.12 월,81.4
중기업,2021.01 월,80.9
중기업,2021.02 월,77.4
중기업,2021.03 월,88.3
중기업,2021.04 월,89.1
중기업,2021.05 월,84.4
중기업,2021.06 월,88.1
중기업,2021.07 월,82
중기업,2021.08 월,78.3
중기업,2021.09 월,83.4
중기업,2021.10 월,82.5
중기업,2021.11 월,87.7
중기업,2021.12 월,86.1
중기업,2022.01 월,87.2
중기업,2022.02 월,83.1
중기업,2022.03 월,87.4
중기업,2022.04 월,86.5
식료품,2015.01 월,77.6
식료품,2015.02 월,78.5
식료품,2015.03 월,84.1
식료품,2015.04 월,86.2
식료품,2015.05 월,93.8
식료품,2015.06 월,77.5
식료품,2015.07 월,81.9
식료품,2015.08 월,90
식료품,2015.09 월,98.7
식료품,2015.10 월,88.4
식료품,2015.11 월,83.3
식료품,2015.12 월,87.4
식료품,2016.01 월,78.6
식료품,2016.02 월,83
식료품,2016.03 월,91.4
식료품,2016.04 월,94.6
식료품,2016.05 월,95.7
식료품,2016.06 월,89.2
식료품,2016.07 월,87
식료품,2016.08 월,91.3
식료품,2016.09 월,103.1
식료품,2016.10 월,86
식료품,2016.11 월,84.9
식료품,2016.12 월,82.4
식료품,2017.01 월,76.6
식료품,2017.02 월,75.1
식료품,2017.03 월,84.7
식료품,2017.04 월,91.6
식료품,2017.05 월,92.3
식료품,2017.06 월,88.5
식료품,2017.07 월,85.8
식료품,2017.08 월,92
식료품,2017.09 월,101.5
식료품,2017.10 월,92.8
식료품,2017.11 월,82.2
식료품,2017.12 월,87.4
식료품,2018.01 월,84.2
식료품,2018.02 월,85.8
식료품,2018.03 월,87.8
식료품,2018.04 월,88.1
식료품,2018.05 월,88.5
식료품,2018.06 월,85.5
식료품,2018.07 월,81
식료품,2018.08 월,88.6
식료품,2018.09 월,98.3
식료품,2018.10 월,86.5
식료품,2018.11 월,86
식료품,2018.12 월,86.6
식료품,2019.01 월,89.4
식료품,2019.02 월,75
식료품,2019.03 월,88.8
식료품,2019.04 월,89.1
식료품,2019.05 월,89.1
식료품,2019.06 월,88
식료품,2019.07 월,91.2
식료품,2019.08 월,84.2
식료품,2019.09 월,91.5
